age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,job_index,marital_index,education_index,default_index,housing_index,loan_index,contact_index,month_index,day_of_week_index,poutcome_index,y_index
56,261,1,999,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,0,1,6,1,1,0
57,149,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,1,0,0,1,6,1,1,0
37,226,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,2,0,1,6,1,1,0
40,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1,0,0,0,1,6,1,1,0
56,307,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,2,1,6,1,1,0
45,198,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,2,1,0,0,1,6,1,1,0
59,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,5,0,0,0,1,6,1,1,0
41,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,1,0,0,1,6,1,1,0
24,380,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,2,0,1,6,1,1,0
25,50,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,0,2,0,1,6,1,1,0
41,55,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,1,0,0,1,6,1,1,0
25,222,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,0,2,0,1,6,1,1,0
29,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,2,3,0,0,2,1,6,1,1,0
57,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,3,0,0,0,2,0,1,6,1,1,0
35,146,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,2,0,1,6,1,1,0
54,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,5,1,2,1,2,2,1,6,1,1,0
35,312,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,2,0,1,6,1,1,0
46,440,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,1,2,2,1,6,1,1,0
50,353,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,2,1,6,1,1,0
39,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,2,2,1,0,0,1,6,1,1,0
30,38,1,999,0,1.1,93.994,-36.4,4.857,5191.0,10,1,3,0,0,0,1,6,1,1,0
55,262,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,2,0,1,6,1,1,0
55,342,1,999,0,1.1,93.994,-36.4,4.857,5191.0,5,2,3,0,2,0,1,6,1,1,0
41,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,3,0,2,0,1,6,1,1,0
37,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,0,1,6,1,1,0
35,99,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,2,1,6,1,1,0
59,93,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,0,2,0,1,6,1,1,0
39,233,1,999,0,1.1,93.994,-36.4,4.857,5191.0,6,1,2,1,0,0,1,6,1,1,0
54,255,2,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,1,0,0,1,6,1,1,0
55,362,1,999,0,1.1,93.994,-36.4,4.857,5191.0,11,1,6,1,1,1,1,6,1,1,0
46,348,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,0,0,1,6,1,1,0
59,386,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,0,2,0,1,6,1,1,0
49,73,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,7,0,0,0,1,6,1,1,0
54,230,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,0,1,2,0,1,6,1,1,0
54,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,0,0,0,1,6,1,1,0
55,336,1,999,0,1.1,93.994,-36.4,4.857,5191.0,11,1,0,1,2,0,1,6,1,1,0
34,365,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,0,1,6,1,1,0
52,1666,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,2,0,2,0,1,6,1,1,0
41,577,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,0,1,6,1,1,0
56,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,0,0,2,0,1,6,1,1,0
58,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,3,6,0,2,0,1,6,1,1,0
32,314,1,999,0,1.1,93.994,-36.4,4.857,5191.0,2,1,3,0,2,0,1,6,1,1,0
38,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2,5,0,0,0,1,6,1,1,0
57,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,0,2,1,6,1,1,0
44,188,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,1,2,0,1,6,1,1,0
42,22,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,1,0,0,1,6,1,1,0
57,616,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,2,1,6,1,1,0
40,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,0,2,1,6,1,1,0
35,355,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,0,1,6,1,1,0
45,225,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,0,1,6,1,1,0
54,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,0,1,6,1,1,0
39,266,1,999,0,1.1,93.994,-36.4,4.857,5191.0,3,1,0,0,0,2,1,6,1,1,0
60,253,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,0,1,6,1,1,0
53,179,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,2,5,0,0,0,1,6,1,1,0
55,269,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,0,0,1,6,1,1,0
55,135,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,5,1,2,0,1,6,1,1,0
50,161,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,1,0,2,1,6,1,1,0
45,787,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,1,2,0,1,6,1,1,0
55,145,1,999,0,1.1,93.994,-36.4,4.857,5191.0,10,1,5,1,2,2,1,6,1,1,0
25,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,0,2,0,1,6,1,1,0
47,449,1,999,0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,1,0,0,1,6,1,1,0
51,812,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,0,2,0,1,6,1,1,0
42,164,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,1,2,0,1,6,1,1,0
42,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,1,0,0,1,6,1,1,0
48,357,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,0,0,1,6,1,1,0
37,232,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,0,0,1,6,1,1,0
44,91,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,2,2,0,2,0,1,6,1,1,0
33,273,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,2,0,1,6,1,1,0
56,158,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,2,0,2,0,1,6,1,1,0
44,177,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,2,0,1,2,2,1,6,1,1,0
41,200,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,1,0,0,0,1,6,1,1,0
44,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,0,6,0,2,0,1,6,1,1,0
47,176,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,1,2,0,1,6,1,1,0
57,211,1,999,0,1.1,93.994,-36.4,4.857,5191.0,11,1,7,1,0,0,1,6,1,1,0
37,214,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,1,2,0,1,6,1,1,0
41,1575,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,1,2,0,1,6,1,1,1
55,349,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,6,0,0,0,1,6,1,1,0
33,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,1,2,0,1,6,1,1,0
55,272,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,7,1,2,0,1,6,1,1,0
42,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,1,0,0,1,6,1,1,0
50,193,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,2,0,1,6,1,1,0
51,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,1,1,1,1,6,1,1,0
38,165,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,1,0,0,1,6,1,1,0
49,1042,1,999,0,1.1,93.994,-36.4,4.857,5191.0,2,1,6,1,2,0,1,6,1,1,1
38,20,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,6,0,0,2,1,6,1,1,0
31,246,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,3,0,0,0,1,6,1,1,0
41,529,2,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,1,0,0,0,1,6,1,1,0
39,192,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,2,1,6,1,1,0
49,1467,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,2,0,0,0,1,6,1,1,1
34,188,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,0,1,6,1,1,0
35,180,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,0,1,6,1,1,0
57,48,1,999,0,1.1,93.994,-36.4,4.857,5191.0,11,1,7,1,2,0,1,6,1,1,0
60,213,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,1,0,2,1,6,1,1,0
33,545,1,999,0,1.1,93.994,-36.4,4.857,5191.0,10,1,2,0,0,0,1,6,1,1,0
42,583,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,2,1,6,1,1,0
45,221,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,5,0,2,0,1,6,1,1,0
42,426,1,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,0,1,6,1,1,0
53,287,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,1,0,0,1,6,1,1,0
37,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,2,5,0,0,0,1,6,1,1,0
44,257,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,1,0,0,0,1,6,1,1,0
54,229,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,7,0,2,0,1,6,1,1,0
49,55,3,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,0,0,0,0,1,6,1,1,0
54,400,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,7,0,0,0,1,6,1,1,0
52,197,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,0,1,6,1,1,0
52,190,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,0,1,6,1,1,0
43,21,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,2,3,1,0,0,1,6,1,1,0
34,300,2,999,0,1.1,93.994,-36.4,4.857,5191.0,3,1,1,0,2,0,1,6,1,1,0
35,123,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,3,0,2,0,1,6,1,1,0
42,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,2,1,7,1,2,0,1,6,1,1,0
43,325,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,7,1,2,2,1,6,1,1,0
60,514,1,999,0,1.1,93.994,-36.4,4.857,5191.0,5,0,6,1,0,0,1,6,1,1,0
58,849,2,999,0,1.1,93.994,-36.4,4.857,5191.0,10,1,0,1,0,0,1,6,1,1,0
35,194,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,0,3,0,2,0,1,6,1,1,0
55,212,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,2,1,2,0,1,6,1,1,0
37,337,2,999,0,1.1,93.994,-36.4,4.857,5191.0,4,1,6,0,0,0,1,6,1,1,0
36,286,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,0,0,0,1,6,1,1,0
52,247,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,0,6,0,0,0,1,6,1,1,0
57,518,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,7,1,2,0,1,6,1,1,0
56,364,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,7,0,2,0,1,6,1,1,0
48,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,0,1,2,0,1,6,1,1,0
40,98,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,1,3,1,2,0,1,6,1,1,0
49,439,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,0,3,0,0,0,1,6,1,1,0
41,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,7,1,3,0,0,0,1,6,1,1,0
45,79,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,1,3,0,2,0,1,6,1,1,0
32,175,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,2,2,1,6,1,1,0
42,262,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,6,0,0,2,1,6,1,1,0
50,61,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0,1,1,0,0,0,1,6,1,1,0
31,78,1,999,0,1.1,93.994,-36.4,4.857,5191.0,9,0,5,0,2,2,1,6,1,1,0
